#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,mean,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,id
,,0,2024-10-29T18:22:12.987295769Z,2024-10-29T19:22:12.987295769Z,2024-10-29T18:30:00Z,1066.5,counter,spacex.starlink.user_terminal.history,ut01000000-00000000-0030f494
,,0,2024-10-29T18:22:12.987295769Z,2024-10-29T19:22:12.987295769Z,2024-10-29T18:30:10Z,1076.5,counter,spacex.starlink.user_terminal.history,ut01000000-00000000-0030f494
,,0,2024-10-29T18:22:12.987295769Z,2024-10-29T19:22:12.987295769Z,2024-10-29T18:30:20Z,1086.5,counter,spacex.starlink.user_terminal.history,ut01000000-00000000-0030f494
,,0,2024-10-29T18:22:12.987295769Z,2024-10-29T19:22:12.987295769Z,2024-10-29T18:30:30Z,1096.5,counter,spacex.starlink.user_terminal.history,ut01000000-00000000-0030f494
,,0,2024-10-29T18:22:12.987295769Z,2024-10-29T19:22:12.987295769Z,2024-10-29T18:30:40Z,1106.5,counter,spacex.starlink.user_terminal.history,ut01000000-00000000-0030f494
,,0,2024-10-29T18:22:12.987295769Z,2024-10-29T19:22:12.987295769Z,2024-10-29T18:30:50Z,1116.5,counter,spacex.starlink.user_terminal.history,ut01000000-00000000-0030f494
,,0,2024-10-29T18:22:12.987295769Z,2024-10-29T19:22:12.987295769Z,2024-10-29T18:31:00Z,1126.5,counter,spacex.starlink.user_terminal.history,ut01000000-00000000-0030f494
,,0,2024-10-29T18:22:12.987295769Z,2024-10-29T19:22:12.987295769Z,2024-10-29T18:31:10Z,1136.5,counter,spacex.starlink.user_terminal.history,ut01000000-00000000-0030f494
,,0,2024-10-29T18:22:12.987295769Z,2024-10-29T19:22:12.987295769Z,2024-10-29T18:31:20Z,1146.5,counter,spacex.starlink.user_terminal.history,ut01000000-00000000-0030f494
,,0,2024-10-29T18:22:12.987295769Z,2024-10-29T19:22:12.987295769Z,2024-10-29T18:31:30Z,1156.5,counter,spacex.starlink.user_terminal.history,ut01000000-00000000-0030f494
,,0,2024-10-29T18:22:12.987295769Z,2024-10-29T19:22:12.987295769Z,2024-10-29T18:31:40Z,1166.5,counter,spacex.starlink.user_terminal.history,ut01000000-00000000-0030f494
,,0,2024-10-29T18:22:12.987295769Z,2024-10-29T19:22:12.987295769Z,2024-10-29T18:31:50Z,1176.5,counter,spacex.starlink.user_terminal.history,ut01000000-00000000-0030f494
,,0,2024-10-29T18:22:12.987295769Z,2024-10-29T19:22:12.987295769Z,2024-10-29T18:32:00Z,1186.5,counter,spacex.starlink.user_terminal.history,ut01000000-00000000-0030f494
,,0,2024-10-29T18:22:12.987295769Z,2024-10-29T19:22:12.987295769Z,2024-10-29T18:32:10Z,1196.5,counter,spacex.starlink.user_terminal.history,ut01000000-00000000-0030f494
,,0,2024-10-29T18:22:12.987295769Z,2024-10-29T19:22:12.987295769Z,2024-10-29T18:32:20Z,1206.5,counter,spacex.starlink.user_terminal.history,ut01000000-00000000-0030f494
